0,0,140,red
29,29,154,red
58,58,218,red
0,0,180,red
25,25,150,red
23,23,187,red
135,184,222,notRed
140,180,210,notRed
143,143,188,notRed
181,228,255,notRed
25,25,231,red
33,33,210,red
96,164,244,notRed
173,222,255,notRed
185,218,255,notRed
225,228,255,notRed
245,240,255,notRed
0,0,128,red
0,0,139,red
42,42,165,red
34,34,178,red
60,20,220,red
0,0,255,red
181,180,182,notRed
187,186,188,notRed
185,180,181,notRed
15,3,52,notRed
31,2,72,notRed
25,9,75,notRed
0,113,105,notRed
206,206,212,notRed
104,11,8,notRed
207,207,213,notRed
45,45,245,red
110,110,255,red
82,82,221,red
205,207,208,notRed
43,43,185,red
61,61,194,red
29,29,117,red
199,198,201,notRed
187,186,188,notRed
147,149,150,notRed
10,10,89,red
0,0,99,red
15,15,129,red
2,2,175,red
24,2,83,notRed
186,184,186,notRed
26,17,132,red
35,21,169,red
43,32,171,red
15,7,137,red
41,28,174,red
35,18,169,red
194,194,200,notRed
37,27,171,red
175,175,181,notRed
182,189,192,notRed
178,183,186,notRed
36,21,169,red
179,179,179,notRed
178,177,179,notRed
35,19,167,red
188,187,189,notRed
41,28,174,red
45,35,172,red
171,174,179,notRed
172,173,179,notRed
59,50,178,red
180,180,182,notRed
49,39,166,red
19,5,136,red
33,20,163,red
32,19,159,red
163,165,166,notRed
210,212,217,notRed
213,213,219,notRed
66,5,69,notRed
26,16,134,red
0,215,255,notRed
11,134,184,notRed
33,21,146,red
22,11,144,red
32,165,218,notRed
170,232,238,notRed
107,183,189,notRed
140,230,240,notRed
0,128,128,notRed
0,255,255,notRed
50,205,154,notRed
47,107,85,notRed
35,142,107,notRed
0,252,124,notRed
0,255,127,notRed
47,255,173,notRed
0,100,0,notRed
0,128,0,notRed
34,139,34,notRed
0,255,0,notRed
50,205,50,notRed
237,149,100,notRed
255,191,0,notRed
255,144,30,notRed
230,216,173,notRed
63,55,180,red
250,206,135,notRed
112,25,25,notRed
128,0,0,notRed
39,26,171,red
39,26,171,red
139,0,0,notRed
36,21,172,red
208,224,64,notRed
204,209,72,notRed
212,255,127,notRed
36,21,172,red
238,238,175,notRed
40,26,175,red
35,21,169,red
42,29,171,red
160,158,95,notRed
42,28,171,red
235,206,135,notRed
36,22,169,red
33,19,167,red
144,238,144,notRed
36,22,158,red
152,251,152,notRed
143,188,143,notRed
154,250,0,notRed
127,255,0,notRed
87,139,46,notRed
170,205,102,notRed
113,179,60,notRed
170,178,32,notRed
79,79,47,notRed
209,206,0,notRed
230,224,176,notRed
180,130,70,notRed
128,128,0,notRed
37,24,169,red
139,139,0,notRed
34,22,169,red
255,255,0,notRed
255,255,0,notRed
34,21,161,red
255,255,224,notRed
32,18,157,red
