55,39,186,red
64,51,190,red
45,29,144,red
70,57,218,red
64,51,211,red
73,51,230,red
20,240,221,notRed
15,156,150,notRed

181,180,182,notRed
187,186,188,notRed
185,180,181,notRed
15,3,52,notRed
31,2,72,notRed
25,9,75,notRed
0,113,105,notRed
206,206,212,notRed
104,11,8,notRed
207,207,213,notRed
205,207,208,notRed
199,198,201,notRed
187,186,188,notRed
147,149,150,notRed
163,165,166,notRed
175,175,181,notRed
194,194,200,notRed
182,189,192,notRed
178,183,186,notRed
171,174,179,notRed
172,173,179,notRed
180,180,182,notRed
179,179,179,notRed
178,177,179,notRed
188,187,189,notRed
210,212,217,notRed
213,213,219,notRed
66,5,69,notRed
24,2,83,notRed
186,184,186,notRed
26,17,132,red
35,21,169,red
43,32,171,red
15,7,137,red
41,28,174,red
35,18,169,red
37,27,171,red
36,21,169,red
35,19,167,red
41,28,174,red
45,35,172,red
59,50,178,red
49,39,166,red
19,5,136,red
33,20,163,red
32,19,159,red
26,16,134,red
33,21,146,red
22,11,144,red
63,55,180,red
39,26,171,red
39,26,171,red
36,21,172,red
36,21,172,red
40,26,175,red
35,21,169,red
42,29,171,red
42,28,171,red
36,22,169,red
33,19,167,red
36,22,158,red
37,24,169,red
34,22,169,red
34,21,161,red
32,18,157,red
